seed	target	contrast	model	interaction_beta	interaction_standard_error	interaction_t	interaction_p	interaction_q_fdr	confidence_interval_lower	confidence_interval_upper	n_total	n_lkm	n_pmr	exploratory_label
dacc_amcc	right_sts	other_fear_anticipation_vs_safety	Model A	0.4080744833450611	0.5270637316992179	0.7742412516783436	0.442433912898542	0.5309206954782505	-0.6505641776172335	1.4667131443073558	54	29	25	exploratory_post_hoc
dacc_amcc	right_sts	other_fear_anticipation_vs_safety	Model B	0.4000212707081563	0.531445397613038	0.7527043653117198	0.4552286687098677	0.5462744024518412	-0.6679582402213073	1.46800078163762	54	29	25	exploratory_post_hoc
dacc_amcc	right_sts	other_fear_anticipation_vs_safety	Model C sensitivity	-0.4829222893324168	0.4654903669782423	-1.0374485136337726	0.304619541259722	0.3655434495116664	-1.4183602039340948	0.4525156252692611	54	29	25	exploratory_post_hoc
left_anterior_insula	right_sts	other_fear_anticipation_vs_safety	Model A	1.4136382177787374	0.4791582297366723	2.950253444578466	0.0048207776973922	0.0289246661843532	0.4512205893030746	2.3760558462544004	54	29	25	exploratory_post_hoc
left_anterior_insula	right_sts	other_fear_anticipation_vs_safety	Model B	1.420621227467644	0.4832432724058346	2.939764107620283	0.0049995308771249	0.0299971852627495	0.4495075137315792	2.3917349412037088	54	29	25	exploratory_post_hoc
left_anterior_insula	right_sts	other_fear_anticipation_vs_safety	Model C sensitivity	-1.4848122296082809	0.4097930498960282	-3.62332213780835	0.0006899680238598	0.0041398081431591	-2.308322195027006	-0.6613022641895557	54	29	25	exploratory_post_hoc
left_anterior_insula	right_tpj	other_fear_anticipation_vs_safety	Model A	1.382825314077279	0.5575300491493375	2.480270464681056	0.0165396948885391	0.0496190846656173	0.2629932535883923	2.5026573745661658	54	29	25	exploratory_post_hoc
left_anterior_insula	right_tpj	other_fear_anticipation_vs_safety	Model B	1.3957234812115962	0.5604689642422223	2.4902779105684707	0.0162038134075783	0.0486114402227349	0.2694189294909532	2.522028032932239	54	29	25	exploratory_post_hoc
left_anterior_insula	right_tpj	other_fear_anticipation_vs_safety	Model C sensitivity	-1.5981459356035908	0.471341887072141	-3.3906299852340243	0.0013859463442932	0.0041578390328798	-2.5453429200855315	-0.6509489511216499	54	29	25	exploratory_post_hoc
right_anterior_insula	right_sts	other_fear_anticipation_vs_safety	Model A	-0.0670537564871416	0.5025219633176113	-0.1334344792503354	0.894385389236005	0.894385389236005	-1.076398824939494	0.9422913119652108	54	29	25	exploratory_post_hoc
right_anterior_insula	right_sts	other_fear_anticipation_vs_safety	Model B	-0.0872054003057802	0.4996975957513963	-0.1745163495826897	0.8621787593679447	0.8621787593679447	-1.0913853147808033	0.9169745141692428	54	29	25	exploratory_post_hoc
right_anterior_insula	right_sts	other_fear_anticipation_vs_safety	Model C sensitivity	0.0718170250297175	0.4399444888139421	0.1632411062207664	0.8710000164942687	0.8710000164942687	-0.8122845254022623	0.9559185754616972	54	29	25	exploratory_post_hoc
